det_start,det_stop,modulation_0 - frequency,photon count
17000,20000,,3359.3039653888295
21000.0,22000.0,500000,111.97329173360325
25000.0,26000.0,600000,111.97360777531024
29000.0,30000.0,650000,111.97274079673748
33000.0,34000.0,700000,111.97483663990705
37000.0,38000.0,710000,111.97353861377596
41000.0,42000.0,715000,111.97434350024302
45000.0,46000.0,720000,111.97025989094892
49000.0,50000.0,725000,111.97103126969193
53000.0,54000.0,730000,111.97479146558912
57000.0,58000.0,750000,111.97460932686353
61000.0,62000.0,800000,111.9745915109695
65000.0,66000.0,900000,111.97414705123715
